ID0001,Item1,971,2025-07-08
ID0002,Item2,751,2025-08-20
ID0003,Item3,479,2026-04-18
ID0004,Item4,185,2026-03-13
ID0005,Item5,424,2025-05-18
ID0006,Item6,565,2026-01-27
ID0007,Item7,82,2026-03-07
ID0008,Item8,759,2026-04-10
ID0009,Item9,606,2025-12-02
ID0010,Item10,251,2025-05-18
ID0011,Item11,813,2025-11-28
ID0012,Item12,865,2025-10-17
ID0013,Item13,996,2025-08-17
ID0014,Item14,96,2026-01-27
ID0015,Item15,527,2026-04-28
ID0016,Item16,401,2025-12-12
ID0017,Item17,38,2025-05-23
ID0018,Item18,686,2025-09-15
ID0019,Item19,761,2025-06-09
ID0020,Item20,829,2025-12-01
ID0021,Item21,148,2025-06-17
ID0022,Item22,699,2026-01-18
ID0023,Item23,288,2025-12-18
ID0024,Item24,523,2026-02-18
ID0025,Item25,875,2025-10-21
ID0026,Item26,367,2025-06-14
ID0027,Item27,703,2025-07-21
ID0028,Item28,334,2025-08-22
ID0029,Item29,867,2025-05-11
ID0030,Item30,589,2025-10-07
ID0031,Item31,854,2026-03-06
ID0032,Item32,795,2025-05-13
ID0033,Item33,315,2025-07-14
ID0034,Item34,634,2025-07-17
ID0035,Item35,747,2025-07-23
ID0036,Item36,126,2025-07-26
ID0037,Item37,238,2026-02-27
ID0038,Item38,238,2025-05-12
ID0039,Item39,436,2025-12-19
ID0040,Item40,100,2025-11-19
ID0041,Item41,491,2026-04-14
ID0042,Item42,94,2025-12-22
ID0043,Item43,111,2026-02-28
ID0044,Item44,772,2026-03-04
ID0045,Item45,960,2025-10-01
ID0046,Item46,624,2026-02-10
ID0047,Item47,323,2025-05-26
ID0048,Item48,938,2025-07-06
ID0049,Item49,756,2025-08-22
ID0050,Item50,399,2025-10-14
